C:\Asya\acugt.ytl\otelets\Source\halk01.cbl Thu Mar 08 21:12:47 2007  ACUCOBOL-GT v7.0.1  Page: 0001


STATISTICS

Total Lines:        3480
# of Files:            6
# of Data Items:    1828
# of Paragraphs:      47

Elapsed Time:        0.1 seconds
Lines/Minute:    1228235


Code Size:          6389 (0018F5)
Data Size:         15576 (003CD8)
Shared Data:         832 (000340)
Extra Segment:      1188 (0004A4)
Thread Segment:      192 (0000C0)
Address Table:      1820 (00071C)
Program Size:      25997 (00658D)

0 Error(s), 0 Warning(s)
